CodiMesa,VNULS,Vots nuls,VBLANCS,Vots en blanc,VCS,Vots,VJXC,Vots.1,VERC,Vots.2,VPSC,Vots.3,VCOM,Vots.4,VCUP,Vots.5,VPPC,Vots.6,VPACMA,Vots.7,VRECORTES,Vots.8,VPUMJUST,Vots.9,VDIALEG,Vots.10
0817202001B,0.0,0,3.0,3,91.0,98,205.0,205,188.0,188,71.0,71,47.0,47,78.0,78,11.0,11,8.0,8,2.0,2,0.0,0,0.0,0
0818404001B,0.0,0,2.0,2,45.0,95,106.0,106,127.0,127,58.0,58,47.0,47,43.0,43,16.0,16,3.0,3,0.0,0,0.0,0,0.0,0
0818404016A,2.0,2,2.0,2,191.0,191,53.0,53,130.0,130,65.0,65,53.0,53,15.0,15,21.0,21,8.0,8,5.0,5,5.0,0,0.0,0
0818701004A,1.0,1,4.0,4,73.0,73,254.0,254,213.0,213,43.0,43,33.0,33,42.0,42,19.0,19,2.0,2,1.0,1,1.0,0,0.0,0
0818701020B,1.0,1,2.0,2,111.0,114,138.0,138,157.0,157,61.0,64,44.0,44,34.0,34,9.0,9,4.0,4,3.0,3,0.0,0,0.0,0
0818701021U,1.0,1,6.0,3,129.0,131,109.0,161,179.0,179,97.0,97,56.0,42,36.0,46,22.0,37,5.0,5,3.0,2,0.0,0,0.0,0
0818701024A,0.0,1,0.0,1,148.0,123,56.0,67,98.0,90,104.0,96,60.0,37,15.0,13,16.0,12,5.0,3,2.0,2,1.0,0,0.0,0
0818701024B,6.0,2,0.0,2,124.0,143,48.0,69,58.0,134,107.0,104,44.0,60,16.0,12,12.0,19,2.0,1,0.0,0,0.0,0,0.0,0
0818701025A,6.0,6,1.0,0,124.0,124,48.0,48,58.0,58,107.0,107,44.0,44,16.0,16,12.0,12,2.0,2,2.0,0,0.0,0,0.0,0
0818702002A,2.0,2,2.0,2,48.0,48,173.0,173,145.0,145,21.0,21,24.0,24,35.0,35,8.0,8,2.0,2,0.0,1,0.0,0,0.0,0
0818704004A,2.0,2,3.0,3,158.0,158,37.0,37,67.0,67,102.0,102,54.0,54,15.0,15,24.0,24,24.0,11,1.0,1,0.0,0,0.0,0
0818704016A,5.0,5,1.0,1,180.0,180,52.0,52,119.0,119,98.0,98,60.0,60,18.0,18,23.0,23,1.0,9,0.0,0,0.0,0,0.0,0
0818705013A,3.0,3,1.0,0,217.0,217,68.0,68,121.0,121,120.0,120,69.0,69,16.0,16,26.0,26,10.0,10,5.0,5,0.0,0,0.0,0
0818706004B,1.0,1,1.0,1,115.0,155,35.0,35,68.0,68,97.0,97,44.0,44,11.0,11,18.0,18,5.0,5,1.0,1,0.0,0,0.0,0
0818707005U,3.0,2,0.0,5,176.0,288,25.0,30,57.0,86,95.0,140,46.0,82,18.0,17,21.0,14,4.0,5,3.0,2,0.0,0,0.0,0
0819401001B,0.0,0,2.0,2,137.0,137,71.0,71,114.0,114,94.0,94,29.0,29,15.0,15,46.0,46,7.0,7,2.0,2,1.0,0,0.0,0
0819401006A,2.0,2,2.0,2,105.0,105,46.0,46,75.0,75,62.0,62,49.0,49,8.0,8,20.0,20,2.0,2,1.0,0,1.0,0,0.0,0
0819403001U,0.0,0,2.0,2,101.0,101,19.0,19,58.0,58,48.0,48,33.0,33,10.0,10,22.0,22,6.0,6,1.0,1,1.0,0,0.0,0
0819601001A,2.0,2,1.0,1,182.0,182,50.0,50,97.0,97,140.0,140,30.0,30,12.0,12,22.0,22,5.0,5,3.0,3,3.0,0,0.0,0
0819601002A,3.0,3,4.0,4,198.0,198,3.0,32,0.0,109,108.0,108,32.0,53,53.0,7,13.0,13,6.0,6,0.0,3,7.0,0,0.0,0
0819601006A,1.0,1,3.0,3,85.0,185,21.0,21,68.0,68,99.0,99,43.0,43,9.0,9,20.0,20,3.0,3,2.0,2,2.0,0,0.0,0
0820002016A,0.0,0,4.0,4,137.0,137,37.0,37,93.0,93,84.0,89,55.0,55,17.0,17,21.0,21,13.0,13,1.0,1,0.0,0,0.0,0
0820004002A,2.0,2,0.0,2,120.0,120,37.0,37,89.0,89,83.0,83,42.0,42,11.0,11,12.0,12,3.0,3,0.0,0,0.0,0,0.0,0
0820004006C,0.0,0,1.0,1,149.0,149,36.0,36,58.0,58,97.0,97,37.0,37,5.0,5,26.0,26,5.0,5,1.0,1,1.0,0,0.0,0
0820502001A,1.0,1,4.0,3,137.0,147,176.0,193,103.0,64,51.0,53,18.0,20,12.0,10,25.0,22,3.0,1,1.0,0,0.0,0,0.0,0
0820502001B,3.0,0,5.0,4,171.0,139,221.0,164,104.0,60,72.0,49,29.0,13,22.0,9,33.0,25,2.0,2,1.0,1,0.0,0,0.0,0
0820701001C,5.0,1,1.0,5,31.0,31,314.0,314,176.0,176,22.0,22,12.0,12,51.0,51,3.0,3,0.0,0,1.0,1,0.0,0,0.0,0
0820801004A,1.0,1,3.0,3,80.0,157,153.0,48,151.0,72,67.0,67,46.0,27,42.0,8,22.0,21,5.0,9,2.0,3,0.0,0,0.0,0
0820901003B,1.0,1,1.0,1,182.0,182,80.0,80,98.0,98,61.0,61,28.0,28,14.0,14,30.0,30,3.0,3,1.0,1,1.0,0,0.0,0
0820901003C,1.0,1,1.0,0,153.0,153,93.0,93,95.0,95,87.0,87,53.0,52,21.0,21,25.0,25,7.0,7,1.0,1,1.0,0,0.0,0
0821101004A,1.0,0,3.0,3,154.0,200,128.0,103,89.0,115,63.0,101,32.0,70,33.0,30,20.0,18,1.0,7,3.0,3,0.0,0,0.0,0
0821103003A,5.0,5,1.0,1,165.0,165,76.0,76,126.0,126,98.0,98,44.0,44,17.0,17,20.0,20,3.0,3,1.0,1,1.0,0,0.0,0
0821103005A,5.0,5,4.0,4,154.0,154,58.0,65,96.0,96,100.0,100,16.0,58,16.0,16,19.0,19,3.0,3,0.0,0,0.0,0,0.0,0
0821105001A,0.0,0,2.0,2,133.0,133,7.0,7,20.0,26,85.0,85,27.0,27,7.0,7,16.0,16,1.0,1,1.0,1,0.0,0,0.0,0
0821701005C,3.0,3,2.0,2,115.0,115,44.0,44,87.0,87,89.0,89,37.0,37,9.0,9,34.0,34,4.0,4,1.0,0,0.0,0,0.0,0
0821703004A,0.0,0,0.0,0,220.0,220,19.0,19,35.0,35,121.0,121,64.0,64,2.0,2,35.0,35,0.0,6,0.0,2,0.0,0,0.0,0
0821703004B,0.0,1,0.0,0,218.0,218,25.0,25,45.0,45,161.0,161,66.0,66,7.0,7,31.0,31,0.0,14,0.0,4,0.0,0,0.0,0
0823101004B,0.0,3,0.0,2,0.0,268,0.0,39,0.0,67,0.0,139,0.0,59,0.0,24,0.0,29,0.0,7,0.0,1,0.0,0,0.0,0
0824002003A,2.0,2,2.0,2,77.0,65,160.0,91,131.0,117,81.0,46,32.0,36,29.0,22,18.0,22,2.0,2,0.0,0,0.0,0,0.0,0
0824401001C,0.0,0,0.0,1,98.0,98,118.0,118,152.0,152,63.0,63,46.0,46,23.0,23,14.0,14,4.0,4,1.0,1,0.0,0,0.0,0
0824502007C,0.0,0,1.0,0,142.0,142,23.0,23,56.0,56,86.0,86,52.0,52,7.0,7,22.0,22,3.0,3,2.0,2,0.0,0,0.0,0
0824503009U,3.0,3,1.0,0,324.0,324,69.0,69,155.0,155,227.0,227,106.0,106,31.0,31,45.0,45,10.0,10,9.0,9,0.0,0,0.0,0
0824503015A,0.0,0,2.0,2,143.0,143,31.0,31,62.0,62,70.0,70,60.0,60,21.0,21,16.0,16,0.0,2,1.0,1,0.0,0,0.0,0
0824503015B,2.0,2,0.0,0,126.0,126,28.0,28,90.0,90,98.0,96,66.0,66,16.0,16,18.0,18,5.0,5,1.0,1,0.0,0,0.0,0
0824504003B,4.0,4,1.0,1,190.0,190,9.0,9,83.0,83,138.0,138,0.0,51,14.0,14,38.0,38,6.0,6,2.0,2,0.0,0,0.0,0
0824504013A,2.0,6,2.0,2,116.0,116,17.0,17,38.0,38,63.0,63,17.0,17,6.0,6,14.0,14,4.0,4,1.0,1,0.0,0,0.0,0
0824505014A,2.0,2,3.0,3,160.0,162,19.0,19,46.0,46,72.0,72,40.0,40,7.0,7,20.0,20,8.0,8,0.0,0,0.0,0,0.0,0
0824601001B,3.0,3,1.0,2,56.0,46,304.0,414,175.0,237,25.0,21,10.0,7,34.0,40,13.0,10,2.0,2,0.0,0,0.0,0,0.0,0
0825101003B,3.0,3,2.0,4,87.0,276,199.0,128,105.0,168,46.0,138,33.0,57,18.0,26,10.0,30,2.0,12,1.0,1,0.0,0,0.0,0
0826301003B,4.0,4,3.0,3,123.0,123,52.0,56,184.0,184,44.0,44,33.0,33,13.0,16,15.0,15,1.0,1,2.0,2,0.0,0,0.0,0
0826301007B,2.0,2,3.0,3,200.0,200,29.0,29,147.0,147,116.0,116,40.0,40,11.0,11,12.0,12,5.0,5,2.0,2,1.0,0,0.0,0
0826601003B,0.0,1,2.0,0,130.0,169,63.0,84,87.0,94,60.0,86,44.0,51,33.0,22,23.0,41,4.0,6,2.0,1,0.0,0,0.0,0
0826601033A,1.0,1,2.0,2,164.0,162,21.0,21,65.0,65,99.0,99,47.0,47,25.0,25,7.0,7,4.0,4,3.0,3,0.0,0,0.0,0
0826601034B,1.0,1,5.0,5,199.0,198,51.0,51,131.0,131,116.0,116,76.0,76,21.0,21,22.0,22,9.0,9,2.0,2,0.0,0,0.0,0
0826801001B,0.0,0,1.0,1,33.0,33,56.0,56,46.0,45,18.0,18,7.0,7,9.0,9,7.0,7,2.0,2,0.0,0,0.0,0,0.0,0
0827906008A,1.0,1,3.0,3,81.0,81,77.0,77,90.0,90,46.0,46,35.0,35,19.0,19,7.0,7,0.0,9,2.0,2,0.0,0,0.0,0
0827906008B,4.0,4,3.0,3,163.0,163,62.0,62,114.0,114,77.0,77,44.0,44,16.0,16,17.0,17,0.0,6,3.0,3,0.0,0,0.0,0
0828901002B,0.0,2,0.0,3,116.0,116,83.0,83,151.0,151,59.0,59,46.0,46,26.0,26,9.0,9,5.0,5,0.0,0,0.0,0,0.0,0
0828901004B,4.0,4,1.0,1,57.0,57,110.0,110,138.0,138,35.0,35,26.0,26,41.0,41,5.0,5,0.0,3,3.0,0,0.0,0,0.0,0
0829803005B,4.0,4,3.0,3,124.0,124,54.0,54,44.0,44,59.0,54,13.0,13,7.0,7,19.0,19,0.0,0,0.0,0,0.0,0,0.0,0
0829803008A,3.0,3,2.0,2,108.0,112,250.0,108,177.0,104,36.0,39,17.0,22,32.0,20,18.0,11,2.0,3,0.0,0,0.0,0,0.0,0
0830101005U,0.0,1,0.0,3,146.0,146,101.0,101,117.0,117,85.0,85,34.0,34,21.0,21,17.0,17,0.0,8,0.0,6,0.0,0,0.0,0
0830101006A,0.0,1,0.0,2,157.0,157,41.0,41,69.0,69,103.0,103,49.0,49,16.0,16,21.0,21,0.0,4,0.0,1,0.0,0,0.0,0
0830101007A,0.0,1,0.0,3,99.0,99,59.0,59,73.0,73,78.0,78,32.0,32,10.0,10,14.0,14,0.0,8,0.0,3,0.0,0,0.0,0
0830101007B,0.0,0,0.0,1,115.0,115,62.0,62,69.0,69,79.0,79,33.0,33,13.0,13,10.0,10,0.0,6,0.0,1,0.0,0,0.0,0
0830102006A,1.0,2,1.0,2,151.0,163,14.0,13,44.0,33,106.0,152,36.0,46,4.0,6,16.0,23,8.0,8,1.0,2,0.0,0,0.0,0
0830102006B,2.0,1,2.0,1,163.0,151,13.0,14,33.0,44,152.0,106,46.0,36,6.0,4,23.0,16,8.0,8,2.0,1,0.0,0,0.0,0
0830102007A,1.0,1,1.0,0,158.0,158,14.0,14,47.0,47,101.0,101,29.0,29,3.0,3,25.0,25,9.0,9,2.0,2,1.0,0,0.0,0
0830102008A,2.0,2,1.0,1,161.0,161,13.0,13,48.0,48,85.0,85,40.0,40,4.0,4,25.0,25,14.0,14,1.0,1,1.0,0,0.0,0
0830102024U,2.0,2,1.0,1,282.0,282,25.0,25,79.0,79,119.0,119,51.0,51,5.0,5,51.0,51,7.0,7,3.0,3,1.0,0,0.0,0
0830102026A,2.0,2,1.0,1,173.0,173,35.0,35,67.0,67,147.0,147,51.0,51,9.0,9,13.0,13,6.0,6,2.0,2,1.0,0,0.0,0
0830102026B,1.0,1,4.0,4,202.0,202,27.0,27,83.0,83,151.0,151,62.0,62,4.0,4,23.0,23,4.0,4,6.0,6,1.0,0,0.0,0
0830701006A,1.0,3,1.0,0,0.0,76,0.0,89,0.0,145,0.0,82,0.0,26,0.0,27,0.0,22,0.0,10,0.0,2,0.0,0,0.0,0
0830701010A,1.0,0,0.0,1,88.0,88,122.0,122,104.0,104,60.0,60,30.0,30,24.0,24,14.0,14,4.0,4,0.0,0,0.0,0,0.0,0
0830701010B,3.0,3,0.0,0,84.0,84,97.0,97,108.0,108,60.0,60,32.0,32,32.0,32,22.0,22,0.0,5,0.0,1,0.0,0,0.0,0
0830702006A,1.0,1,0.0,0,132.0,132,68.0,68,92.0,92,89.0,89,38.0,38,28.0,28,10.0,10,1.0,1,1.0,1,1.0,0,0.0,0
0890501001A,2.0,4,4.0,2,100.0,100,131.0,131,144.0,144,59.0,59,41.0,41,22.0,22,18.0,18,6.0,6,6.0,6,0.0,0,0.0,0
1700401001U,0.0,0,3.0,3,36.0,36,209.0,209,140.0,140,20.0,20,13.0,13,21.0,29,4.0,4,3.0,3,0.0,0,1.0,1,0.0,0
1700601001A,5.0,4,2.0,3,57.0,53,168.0,208,154.0,123,27.0,25,10.0,14,31.0,29,7.0,12,6.0,1,0.0,1,0.0,0,0.0,0
1700701001C,1.0,1,1.0,1,46.0,46,350.0,350,90.0,90,16.0,16,15.0,15,23.0,23,9.0,9,0.0,1,0.0,0,0.0,0,0.0,0
1702701001A,1.0,6,6.0,1,73.0,73,253.0,253,242.0,242,46.0,46,15.0,15,29.0,29,14.0,14,2.0,2,0.0,0,0.0,0,0.0,0
1703601001B,0.0,2,0.0,2,0.0,66,0.0,185,0.0,151,0.0,32,0.0,12,0.0,22,0.0,13,0.0,1,0.0,0,0.0,0,0.0,0
1706201004B,0.0,0,3.0,23,128.0,128,118.0,0,80.0,80,51.0,51,18.0,118,20.0,18,11.0,11,5.0,5,0.0,0,0.0,0,0.0,0
1707902006A,0.0,0,0.0,4,89.0,89,314.0,314,107.0,107,40.0,40,17.0,17,29.0,29,22.0,22,1.0,1,0.0,0,2.0,2,0.0,0
1708301002A,2.0,2,4.0,3,112.0,126,148.0,196,140.0,153,65.0,70,34.0,58,26.0,21,11.0,13,5.0,4,1.0,1,0.0,0,0.0,0
1708301003U,2.0,2,3.0,4,126.0,112,196.0,148,153.0,140,70.0,65,58.0,34,21.0,26,13.0,11,4.0,5,1.0,1,0.0,0,0.0,0
1709502003A,0.0,8,0.0,0,0.0,126,0.0,137,0.0,95,0.0,42,0.0,22,0.0,15,0.0,21,0.0,6,0.0,1,0.0,1,0.0,0
1711402005A,1.0,1,4.0,4,109.0,109,102.0,102,69.0,69,46.0,46,12.0,12,10.0,10,12.0,12,1.0,0,1.0,1,1.0,0,0.0,0
1711403002B,1.0,1,3.0,3,60.0,60,276.0,276,138.0,138,32.0,32,16.0,16,27.0,27,10.0,10,2.0,2,1.0,1,1.0,0,0.0,0
1711701001A,3.0,3,2.0,2,147.0,147,206.0,206,48.0,118,66.0,66,33.0,33,30.0,30,16.0,16,2.0,2,0.0,0,0.0,0,0.0,0
1717101001U,0.0,0,0.0,0,16.0,16,53.0,53,45.0,45,9.0,4,9.0,9,9.0,9,4.0,4,1.0,1,2.0,2,0.0,0,0.0,0
1718001005A,5.0,5,2.0,2,64.0,64,288.0,288,123.0,123,30.0,30,13.0,13,13.0,17,12.0,12,5.0,5,0.0,0,0.0,0,0.0,0
1718001005B,1.0,0,1.0,1,45.0,45,263.0,263,107.0,107,42.0,42,25.0,25,25.0,19,16.0,16,4.0,4,1.0,1,0.0,0,0.0,0
1718001006A,1.0,2,0.0,2,103.0,104,274.0,125,109.0,113,50.0,46,16.0,27,34.0,32,8.0,13,3.0,3,1.0,2,2.0,0,0.0,0
2501101001A,3.0,3,3.0,3,91.0,91,209.0,209,244.0,244,45.0,45,21.0,21,20.0,20,29.0,29,10.0,10,1.0,1,21.0,2,0.0,0
2501401001U,0.0,0,2.0,2,5.0,5,100.0,100,85.0,86,2.0,2,1.0,1,15.0,15,4.0,4,1.0,1,0.0,0,0.0,0,0.0,0
2502301002A,0.0,1,1.0,1,139.0,121,165.0,244,141.0,147,46.0,68,22.0,23,21.0,27,31.0,12,2.0,3,0.0,4,0.0,1,0.0,0
2502301003B,1.0,0,1.0,1,139.0,139,165.0,165,141.0,141,46.0,46,22.0,22,23.0,23,31.0,31,2.0,2,4.0,4,3.0,3,0.0,0
2504501001U,0.0,0,0.0,0,9.0,9,4.0,4,4.0,4,10.0,10,3.0,3,7.0,7,5.0,5,1.0,0,1.0,1,0.0,0,0.0,0
2505501001U,0.0,1,1.0,1,14.0,14,64.0,64,24.0,24,6.0,6,5.0,5,10.0,10,5.0,5,0.0,0,0.0,0,0.0,0,0.0,0
2506101001U,0.0,0,0.0,0,7.0,7,31.0,31,17.0,17,3.0,3,0.0,1,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2512001001B,1.0,1,6.0,6,140.0,140,167.0,167,140.0,104,82.0,82,28.0,28,34.0,34,41.0,41,2.0,2,0.0,0,1.0,1,0.0,0
2512001004A,1.0,1,2.0,2,146.0,146,151.0,151,179.0,179,65.0,65,37.0,37,0.0,36,17.0,17,3.0,3,0.0,3,3.0,3,0.0,0
2512002003U,0.0,5,0.0,3,146.0,146,171.0,171,175.0,175,77.0,77,38.0,38,40.0,40,29.0,29,2.0,2,0.0,0,3.0,3,0.0,0
2512006001B,4.0,4,5.0,5,127.0,127,156.0,156,118.0,118,62.0,62,34.0,34,18.0,18,41.0,41,3.0,3,1.0,0,3.0,3,0.0,0
2512007001B,3.0,2,3.0,3,156.0,156,157.0,157,185.0,185,77.0,77,39.0,39,25.0,25,5.0,5,2.0,2,0.0,1,0.0,0,0.0,0
2514501001U,0.0,0,0.0,0,2.0,2,45.0,45,17.0,17,3.0,3,2.0,2,5.0,5,1.0,1,3.0,0,0.0,0,0.0,0,0.0,0
2517201002A,4.0,4,4.0,0,53.0,53,186.0,186,173.0,173,21.0,21,8.0,8,21.0,21,25.0,25,0.0,0,0.0,0,0.0,0,0.0,0
2518901001A,0.0,1,0.0,4,82.0,82,194.0,194,135.0,135,34.0,34,28.0,28,26.0,26,17.0,17,2.0,2,0.0,0,0.0,0,0.0,0
2518901001B,3.0,3,5.0,5,126.0,126,190.0,190,194.0,194,57.0,57,40.0,40,30.0,30,20.0,20,6.0,6,1.0,1,1.0,0,0.0,0
2520301003B,0.0,0,1.0,1,108.0,108,137.0,137,138.0,138,53.0,53,21.0,21,28.0,28,22.0,28,1.0,1,1.0,1,1.0,1,0.0,0
4300601001U,0.0,3,0.0,6,0.0,49,0.0,169,0.0,153,0.0,54,0.0,16,0.0,33,0.0,41,0.0,2,0.0,0,0.0,0,0.0,0
4302201001A,2.0,2,5.0,4,58.0,86,81.0,75,102.0,88,37.0,30,15.0,17,9.0,10,22.0,39,0.0,0,1.0,0,0.0,0,0.0,0
4302201001B,2.0,2,4.0,5,86.0,58,75.0,81,88.0,102,30.0,37,17.0,15,10.0,9,39.0,22,0.0,0,0.0,1,0.0,0,0.0,0
4302401001B,6.0,6,2.0,2,156.0,156,115.0,115,118.0,118,67.0,67,25.0,25,16.0,16,24.0,24,3.0,4,0.0,1,2.0,0,0.0,0
4305101003C,3.0,3,1.0,1,134.0,134,60.0,60,83.0,83,78.0,78,34.0,34,17.0,17,19.0,19,4.0,6,2.0,0,0.0,0,0.0,0
4308301001U,0.0,0,0.0,0,29.0,29,48.0,48,26.0,26,4.0,4,9.0,9,1.0,1,19.0,13,0.0,0,0.0,0,0.0,0,0.0,0
4309501002A,1.0,1,2.0,2,137.0,137,111.0,111,125.0,125,46.0,46,22.0,22,18.0,18,14.0,14,7.0,7,1.0,0,0.0,0,0.0,0
4310801001C,5.0,5,1.0,1,98.0,98,181.0,186,125.0,125,29.0,29,25.0,25,30.0,30,22.0,23,7.0,6,0.0,0,0.0,0,0.0,0
4312303007B,1.0,1,3.0,3,222.0,222,74.0,74,67.0,77,50.0,50,22.0,22,8.0,12,20.0,20,6.0,6,0.0,0,0.0,0,0.0,0
4314808003A,0.0,2,4.0,5,153.0,203,134.0,21,145.0,50,64.0,80,46.0,42,34.0,15,24.0,30,5.0,13,3.0,3,0.0,0,0.0,0
4314808005B,0.0,4,0.0,1,168.0,168,10.0,10,32.0,32,75.0,75,28.0,28,7.0,7,15.0,15,2.0,2,1.0,1,0.0,0,0.0,0
4314808011A,1.0,1,0.0,0,176.0,176,16.0,16,34.0,34,81.0,81,36.0,32,5.0,5,26.0,26,8.0,8,0.0,0,0.0,0,0.0,0
4314809004B,1.0,1,0.0,0,190.0,198,7.0,7,13.0,13,76.0,76,24.0,24,1.0,1,27.0,27,2.0,2,2.0,2,0.0,0,0.0,0
4314809008U,0.0,1,2.0,0,293.0,238,8.0,12,29.0,19,101.0,106,39.0,20,1.0,6,39.0,29,6.0,9,1.0,2,0.0,0,0.0,0
4315502004U,1.0,1,3.0,3,89.0,89,147.0,147,133.0,133,54.0,54,26.0,26,25.0,25,13.0,13,0.0,0,0.0,2,0.0,0,0.0,0
4316001001A,8.0,8,4.0,4,148.0,148,117.0,117,154.0,134,73.0,73,17.0,17,21.0,21,13.0,13,7.0,7,0.0,0,0.0,0,0.0,0
4316101001U,4.0,4,0.0,0,64.0,64,113.0,113,82.0,82,45.0,45,8.0,8,41.0,41,15.0,15,0.0,5,2.0,2,0.0,0,0.0,0
4316106001A,0.0,0,1.0,1,95.0,95,130.0,130,114.0,114,53.0,54,12.0,12,28.0,28,19.0,19,1.0,1,0.0,0,0.0,0,0.0,0
4317001001A,1.0,1,2.0,2,50.0,50,143.0,143,117.0,117,34.0,34,8.0,8,16.0,16,9.0,9,2.0,2,1.0,0,1.0,0,0.0,0
4317001001B,1.0,1,1.0,1,37.0,37,134.0,134,119.0,119,35.0,35,9.0,9,22.0,22,4.0,4,1.0,1,1.0,0,1.0,0,0.0,0
4317101001A,3.0,3,2.0,2,186.0,186,60.0,60,78.0,78,65.0,65,27.0,27,15.0,15,11.0,11,4.0,4,1.0,0,0.0,0,0.0,0
